block_date,protocol_fee_kind,cnt_orders,cnt_tx,protocol_fee_in_eth
3/15/2024,surplus,2309,1638,2.7306297677062696
3/14/2024,surplus,2207,1638,1.862278069689931
3/13/2024,surplus,2032,1531,1.5191006051258769
3/12/2024,surplus,2109,1534,1.360323656345386
3/11/2024,surplus,2215,1703,8.770524836706292
3/10/2024,surplus,2137,1575,2.0435623543854886
3/9/2024,surplus,1793,1413,1.7255341633016397
3/8/2024,surplus,2198,1599,7.2019541350335725
3/7/2024,surplus,2125,1634,5.489972464858209
3/6/2024,surplus,2559,1889,6.761860079850507
3/5/2024,volume,1,1,0
3/5/2024,surplus,2664,1868,6.273978638304064
3/4/2024,surplus,2205,1652,2.3848504327700155
3/3/2024,surplus,1912,1549,1.396445603873537
3/2/2024,surplus,1759,1431,2.0211559620620916
3/1/2024,surplus,2161,1606,1.5528101266486702
2/29/2024,surplus,2031,1575,2.5739819937403166
2/28/2024,surplus,2307,1761,2.921998187578517
2/28/2024,volume,1,1,0
2/27/2024,surplus,2175,1647,2.705266097860604
2/26/2024,surplus,1969,1539,1.0571178087087278
2/25/2024,surplus,1788,1465,1.0940537885875228
2/24/2024,surplus,1673,1423,0.761236467
2/23/2024,surplus,1785,1417,0.9294667605137814
2/22/2024,surplus,1744,1441,0.9568684552904632
2/21/2024,surplus,1818,1479,1.2750454688005053
2/20/2024,surplus,2044,1564,1.7928399747456176
2/19/2024,surplus,2167,1667,1.495595111373777
2/18/2024,surplus,1676,1390,0.8775335686836354
2/17/2024,surplus,1564,1266,0.7019364463751931
2/16/2024,surplus,1875,1435,1.2567554462923993
2/15/2024,surplus,1656,1323,0.6181470792515918
2/14/2024,surplus,1973,1568,1.113873290806997
2/13/2024,surplus,1879,1467,1.8006566154474335
2/12/2024,surplus,1546,1251,1.450818225494053
2/11/2024,surplus,1445,1204,0.6540513114013082
2/10/2024,surplus,1443,1219,1.5842934558368726
2/9/2024,surplus,1754,1363,0.9522812027390861
2/8/2024,surplus,1856,1395,0.8196355456505906
2/7/2024,surplus,1642,1281,0.7769940593904444
2/6/2024,surplus,1770,1392,3.3034026712461855
2/5/2024,surplus,1659,1331,0.6467709999963261
2/4/2024,surplus,1297,1106,0.44643559943962685
2/3/2024,surplus,1109,946,0.6797934203159287
2/2/2024,surplus,1679,1353,0.5834302711862052
2/1/2024,surplus,1785,1429,1.9843712178850779
1/31/2024,surplus,1586,1250,1.845821821382494
1/30/2024,surplus,2011,1508,1.7200394137251436
1/29/2024,surplus,1623,1298,1.2294686316252805
1/28/2024,surplus,1350,1131,1.0627312930815613
1/27/2024,surplus,1456,1211,0.6281350259782538
1/26/2024,surplus,1874,1457,2.77745929
1/25/2024,surplus,2114,1587,6.383530758796479
1/24/2024,surplus,1887,1486,0.5504444761565834
1/23/2024,surplus,1443,1003,0.7157522071643342
