time,tx_hash,sell_token,buy_token,units_sold,units_bought,buy_price,sell_price,buy_value_usd,sell_value_usd,fee,limit_sell_amount,limit_buy_amount,partial_fill,fill_proportion,surplus_usd
2024-03-01 00:41:35.000 UTC,0xd74f7fa652c940b5820945dd1c6c5cbd73246406e9cb98b62e02f45f5f06d2bd,SAND,ETH,1000.0,0.16739307071191503,3372.31,0.596986,564.5013262924982,596.986,0.0,1000000000000000000000,163671745478536082,False,1,13.271630995988637
2024-03-01 00:42:11.000 UTC,0xb37f4b3b7930f7a33da3e22d0e7b4c34d4423ee6bb2d4721ad797e495fbb9a7a,ETH,KIBSHI,1.5,1271901628.0236082,3.72e-06,3372.31,4731.474056247823,5058.465,0.0,1500000000000000000,1261091257646443444684176950,False,1,42.99379683545043
2024-03-01 00:42:47.000 UTC,0x13259679cf672055799183dfca7bd31cad249a1663a894573b5a0cda85f7e3f9,ETH,WILD,3.0,24041.815256304693,0.416829,3372.31,10021.32581147023,10116.93,0.0,3000000000000000000,23586870353340968934071,False,1,191.44335351024787
2024-03-01 00:44:47.000 UTC,0xe0358369e857e94bba414a4fb38f2597eab5e438cfd9b7c295cb7fb9c8161528,USDC,ETH,1000.0,0.28770276662218214,3372.31,1.000321,970.222916907651,1000.321,0.0,1000000000,279927969172195023,False,1,27.032389195554227
2024-03-01 00:48:11.000 UTC,0x02a055931e7e7a734b5b8279a4ac4c1a9a81a67450e5d6b3d10859c8bed289b4,crvUSD,USDT,1500.0,1463.777755,1.000871,0.99551,1465.0527054246052,1493.265,0.0,1500000000000000000000,1413700018,False,1,51.086533926255086
2024-03-01 00:49:11.000 UTC,0xaaf5fe9fd0b1b771acda08a97af67b56c0dd4fccf9c7620862423cdf077899ac,PRIME,ETH,500.0,2.200485608027803,3372.88,15.0,7421.973897604816,7500.0,0.0,500000000000000000000,2186954355603432079,False,1,46.119089719352914
2024-03-01 00:49:35.000 UTC,0x768dde36ef3ebf9dbb2f7c499cb5f018fd2614c937a3f664409d0c0f73f9aa74,ETH,USDC,3.095089781391044,10400.366027,1.000627,3372.88,10406.887056498928,10439.366421858225,0.0,3095089781391044058,10190339509,False,1,210.81409769781388
2024-03-01 00:49:59.000 UTC,0xbc2cb747833476fff4e69dc596f2369af6724098b1dbd65aef0ba6fb0088e4d1,DAI,USDe,1015179.0201533976,1012725.2296543525,1.002748,1.001374,1015508.1985854426,1016573.8761270883,0.0,1015179020153397634628323,1012558610690726082956594,False,1,167.25216349933243
2024-03-01 00:51:59.000 UTC,0x7eaecb32dc3b5f25d9bc2421835ae5c8ab3545dea960ffd713f8e2534c143f7a,DAI,USDC,2701.167102650243,2703.293549,1.000114,1.000763,2703.601724464586,2703.2280931495657,0.0,250000000000000000000000,249986604650,True,0,2.271437579118527
2024-03-01 00:51:59.000 UTC,0x7eaecb32dc3b5f25d9bc2421835ae5c8ab3545dea960ffd713f8e2534c143f7a,ETH,HEX,3.1307,984904.38670893,0.010682,3373.15,10520.74865882479,10560.320705,0.0,3130700000000000000,97482916868348,False,1,108.02828676302022
2024-03-01 00:52:23.000 UTC,0x85b983a04c3905b0e06a096a79376c077a580fe4987a45c49e20c74d90cd493d,ETH,SD,0.04765447503609907,120.00932937187565,1.037327,3373.15,124.48891760933967,160.74569246801758,0.0,47654475036099074,117992325860707382541,False,1,2.7016618442094984
2024-03-01 00:54:23.000 UTC,0x02521387a3435872ff2eeb0b4e32b8a9449a07afaa6feb09595cd7321e2d73d0,WETH,USDT,60.0,202680.099072,1.000463,3373.15,202773.93995787037,202389.0,0.0,60000000000000000000,202680000000,True,1,0.09911787033600003
2024-03-01 00:54:47.000 UTC,0x03fe351e092fadb1af07b59286e247cc08c722d849586105a2da917fac6d4dbe,FOLD,USDC,1000.0,22649.739813,1.000114,23.16,22652.32188333868,23160.0,0.0,1000000000000000000000,22502109607,False,1,150.95606391900236
2024-03-01 00:55:59.000 UTC,0x2dc74371c970a8227d4c322231fcf97eb0231aa34b049b26c294de0b86fb93a6,USDC,WETH,10180.859135,3.0,3375.35,1.000066,10126.05,10181.53107170291,0.0,10234908644,3000000000000000000,False,1,53.76762748306423
2024-03-01 00:57:11.000 UTC,0xc7408952bd3da3fc5eeacafb6e639d0b0185ac969042e79e70673bf6821d0e79,FOLD,USDC,1000.0,22468.287344,1.000066,23.16,22469.770250964702,23160.0,0.0,1000000000000000000000,22287992910,False,1,185.84501023639748
2024-03-01 00:57:35.000 UTC,0xbc5f37b124c93548ead504dde70d4ddc377504ce54ef21b9c4d3e1a1efdb16be,USDC,OLAS,20000.0,3610.8879083420807,5.47,1.000066,19751.556858631182,20001.32,0.0,20000000000,3593287157922440728863,False,1,97.49353907387889
2024-03-01 00:57:35.000 UTC,0xbc5f37b124c93548ead504dde70d4ddc377504ce54ef21b9c4d3e1a1efdb16be,PEAS,ETH,188.8967258054131,0.25,3375.35,4.56,843.8375,861.3690696726836,0.0,192859772083721294507,250000000000000000,False,1,17.700142694009976
2024-03-01 01:00:11.000 UTC,0xe15e37c376a3fa4275c92e49a9c58e250d99220f640057385902fe476976bc0f,$Reach,USDC,50891.25,5074.450092,1.000169,,5075.307674065549,,0.0,50891250000000000000000,5074132194,False,1,0.317951724762
2024-03-01 01:00:11.000 UTC,0xe15e37c376a3fa4275c92e49a9c58e250d99220f640057385902fe476976bc0f,USDC,SPOOL,4470.37056,14656.952656011235,0.306901,1.000169,4498.233427082504,4471.126052624641,0.0,5000000000,16393442622950819672131,True,0,8.39468999354762e-08
2024-03-01 01:00:11.000 UTC,0xe15e37c376a3fa4275c92e49a9c58e250d99220f640057385902fe476976bc0f,Mog,ETH,1009175320.167471,0.1,3379.17,,337.91700000000003,,0.0,1011685482319075045740262132,100000000000000000,False,1,0.8384290163373233
2024-03-01 01:00:11.000 UTC,0xe15e37c376a3fa4275c92e49a9c58e250d99220f640057385902fe476976bc0f,USDC,ETH,1003.688253,0.2940366690611734,3379.17,1.000169,993.5998909914452,1003.8578763147572,0.0,1003688253,287571420388142555,False,1,22.07272590686722
2024-03-01 01:00:35.000 UTC,0x006122c2b883cafbf1e14237620369c47fbc3519db0c0dd4cad4ba84ed21ec65,USDC,ALT,6461.534106,13534.03975829416,0.470941,1.000169,6373.73421781081,6462.626105263915,0.0,6461534106,13506159779204532292057,False,1,13.31294158260656
2024-03-01 01:00:35.000 UTC,0x006122c2b883cafbf1e14237620369c47fbc3519db0c0dd4cad4ba84ed21ec65,ETH,SHIDO,3.1,4835992.1417339295,,3379.17,,10475.427,0.0,3100000000000000000,4683492925721725529819145,False,1,330.3343674004172
2024-03-01 01:00:59.000 UTC,0x58a1541b2a4e8c08f8a0f7266a1f8aa20bcff76e5ffcb4ea276fff438883f3b0,POINTS,USDT,1200000.0,3389.502318,1.000549,,3391.3631547725813,,0.0,1200000000000000000000000,3374588030,False,1,14.922475944111998
2024-03-01 01:06:47.000 UTC,0x1dce87fe73878c25336f412bf07639b1ef897900191d2dd22a840d970fafc730,WBTC,USDC,0.81448665,49968.659403,0.999843,61516.29,49960.81432347373,50104.1969625285,0.0,81448665,49706194424,False,1,263.1769024964551
2024-03-01 01:07:59.000 UTC,0xa4e36a25f82ae047701fa0abefb8c1a087b4ea5f0f1a4417c2cb1a01ace82d63,PRIME,USDC,357.14285714285717,5403.258844,0.999843,15.12,5402.410532361492,5400.0,0.0,357142857142857142857,5172476801,False,1,230.745810219249
2024-03-01 01:08:35.000 UTC,0xeb155bb026bc4c2c848d723a915a9a4c3a54d866a44e4f879d0aa7edd3437b06,USDT,GF,71285.0,200045.5002196831,,1.000418,,71314.79713,0.0,71285000000,199090833840236159859878,False,1,340.33177003393445
2024-03-01 01:12:11.000 UTC,0x22549f3be6c5beab24ac35056c915ba9f06e269ce8641d807d6f520283d0ab98,BEAM,USDT,1000000.0,33026.104737,1.00101,0.033186,33059.46110278437,33186.0,0.0,1000000000000000000000000,33000000000,True,1,26.23112259168271
2024-03-01 01:12:35.000 UTC,0x332b99184d013dec0ba5cfabe771c264b148527f4a20c89a755c1a18ccfe2ef7,ETH,HIPHOP,0.033,415087730.6974791,,3373.15,,111.31395,0.0,33000000000000000,365977376276453712022251255,False,1,13.16990874993718
2024-03-01 01:12:35.000 UTC,0x332b99184d013dec0ba5cfabe771c264b148527f4a20c89a755c1a18ccfe2ef7,SWAP,ETH,4059.569407,0.30930498057884076,3373.15,0.267417,1043.3320952395168,1085.597872111719,0.0,4059569407000000000000,304203116839528683,False,1,17.906509002332005
2024-03-01 01:12:59.000 UTC,0x016263cd3d3f6635e53b598b0c456447133bc5c6bbd1fc0dc7c4688c54e69d11,USDC,PEPE,36657.121278,13327487133.712303,2.73e-06,1.000261,36384.03987503459,36666.68878665356,0.0,36657121278,13318111476380720250530182144,False,1,25.7943831495346
2024-03-01 01:14:47.000 UTC,0x955bdea4ce048750e78236dacf692e47d2e7ec03f42eec1f57f69e9732e66f3e,VITA,ETH,3700.0,3.5483613111384,3373.15,,11969.154956666494,,0.0,3700000000000000000000,3548214304786149745,False,1,0.49587447709137245
2024-03-01 01:15:11.000 UTC,0x7b8be7a4be6b0b8668dcee36c8771cb702e5b8a036c5bd4396afdfeaafa8eb92,stETH,USDC,0.6474932230482284,2151.220207,1.000605,3369.97,2152.521695225235,2182.032736875838,0.0,647493223048228467,2124370316,False,1,27.234469513119414
2024-03-01 01:16:23.000 UTC,0xcdc8c794f164259057e5420de3f98f5d067c85346ca581bdae1526129f2ea1e6,ETH,SHU,1.8447542943926716,22420.807370543585,,3376.61,,6229.015797989239,0.0,1844754294392671603,21993068267409330086157,False,1,118.83575764276382
2024-03-01 01:17:47.000 UTC,0x749c14d908067303a8e9b4aea2f813c11b9b63d5ef46b4ce9d0cb3fda4bb77aa,TITANX,HEX,2900600000.0,177748.23823252,0.010543,6.6e-07,1873.9996756854584,1914.3960000000002,0.0,2900600000000000000000000000,17622895328470,False,1,16.363104669212348
2024-03-01 01:18:47.000 UTC,0xcfc3cc3516b172ddee99c60a09f03d446ba8ea76c1d4f84cfc418422d978db53,ETH,BIDEN,0.02028886116642768,3365.097176422,,3376.61,,68.50757150317136,0.0,20288861166427680,2844567685833,False,1,10.597082172215796
2024-03-01 01:19:47.000 UTC,0xfe163deee2fcf7805c5063b03230518826a0f9ea20c9b74d7104a1f55227d09a,ETH,DAI,70.0,236080.7470082179,1.000844,3376.61,236279.99915869287,236362.7,0.0,70000000000000000000,231188001697064090254957,False,1,4898.588753264168
2024-03-01 01:20:11.000 UTC,0xd23c3ce28dd781228e9f7d9f9aa635b2a40827dc56d4f1d413c08ac6e6748861,APE,ROOT,2000.0,52245.609402,0.072788,1.95,3802.8534171527763,3900.0,0.0,2000000000000000000000,51790497266,False,1,33.972947214432416
2024-03-01 01:21:47.000 UTC,0x9ca9d5dae8e5405d1ca97cbf755833cd9a9bc91e26f200a8c3de104fea2d232d,MC,USDC,1534.8140282991658,5033.382422,1.000477,3.28,5035.783345415294,5034.190012821264,0.0,1534814028299165696293,5023446314,True,1,9.940847523516
2024-03-01 01:22:23.000 UTC,0x891310dde58fe9969539972da30aac13dd4767cb336f46eec54928ee503865f9,APE,DAI,3550.0,6895.557162976657,1.000951,1.95,6902.114837838648,6922.5,0.0,3550000000000000000000,6879659806613208197640,False,1,15.959471704019428
2024-03-01 01:24:47.000 UTC,0x2dfbe3e5576e671e645ed13ce7df48ab3618aa9a537a11cdc97b2761729646d5,DAI,ASTO,6896.119974775456,129186.47665980975,0.052765,1.000951,6816.524440954861,6902.678184871467,0.0,6896119974775456413261,128637421618596609353917,False,1,29.337051007713356
2024-03-01 01:27:11.000 UTC,0x306fd0d90e5640f0baa52f0405045ec987e85004f32cafd1335c969d23d87027,ETH,TOAD,0.025,8067493039.485361,,3380.07,,84.50175000000002,0.0,25000000000000000,7094877442376040688587366407,False,1,10.18751669580311
2024-03-01 01:27:35.000 UTC,0x19073cc5a12dc4953d9e2b310d4dea328639fcadb5284e2db67c6964d7a3bd78,FRAX,ETH,2500.0,0.7344915583800833,3380.07,1.002596,2482.632881733768,2506.4900000000002,0.0,2500000000000000000000,725422057435287760,False,1,30.9501357282545
2024-03-01 01:27:59.000 UTC,0xfa6b4047d57ef65f3dbdd10a8349671b077e5bcb08a455cdfc164088115571cf,AGIX,USDT,82522.42289742,60938.789427,1.000516,0.738227,60970.233842344336,60920.280688293664,0.0,8252242289742,60909703942,False,1,29.10049311026
2024-03-01 01:29:23.000 UTC,0x05bdadb8d7b66cb32a0f95e455397e34652a0af2551851fc05c240c9dd90d001,USDC,OS,2266.988103,289.4363214674871,7.64,1.000369,2211.2934960116013,2267.8246216100074,0.0,2266988103,286951113107844270434,False,1,19.47238922625041
